1000 2.43936
2000 3.2518
3000 2.53156
4000 2.41236
5000 2.09371
6000 2.02033
7000 1.02947
8000 0.558333
9000 0.284323
10000 -0.0368674
11000 0.179497
12000 -0.51149
13000 -0.381356
14000 -0.443994
15000 -0.528595
16000 -0.584755
17000 -0.581768
18000 -0.856205
19000 -0.601927
20000 -0.911972
21000 -0.756441
22000 -0.709599
23000 -0.879629
24000 -0.65724
25000 -0.778236
26000 -0.619041
27000 -0.58197
28000 -0.405616
29000 -0.487703
30000 -0.469286
31000 -0.360742
32000 -0.416952
33000 -0.324401
34000 -0.280959
35000 -0.24033
36000 -0.196629
37000 -0.144136
38000 -0.265777
39000 -0.347498
40000 -0.357377
41000 -0.324958
42000 -0.336984
43000 -0.287303
44000 -0.296144
45000 -0.178428
46000 -0.276617
47000 -0.0861267
48000 -0.143595
49000 -0.222314
50000 -0.163047
51000 -0.127298
52000 -0.0394498
53000 -0.138141
54000 -0.0777318
55000 -0.137474
56000 -0.222598
57000 -0.212696
58000 -0.036175
59000 0.0105684
60000 -0.0933376
61000 -0.0417632
62000 -0.100931
63000 -0.0581986
64000 -0.149278
65000 -0.0275666
66000 -0.140875
67000 -0.0166203
68000 0.059633
69000 -0.0199515
70000 -0.00436793
71000 -0.0115756
72000 -0.0729281
73000 -0.035531
74000 -0.0807054
75000 -0.120149
76000 -0.0733572
77000 -0.0453205
78000 -0.0934632
79000 -0.0510805
80000 -0.0300346
81000 -0.102413
82000 -0.15988
83000 -0.131007
84000 -0.1483
85000 -0.239175
86000 -0.360685
87000 -0.399781
88000 -0.425179
89000 -0.395416
90000 -0.374946
91000 -0.356707
92000 -0.374943
93000 -0.452908
94000 -0.481093
95000 -0.46681
96000 -0.37247
97000 -0.331008
98000 -0.335335
99000 -0.258099
100000 -0.186965
